Authoritariansm,SDO,CRT,Conspiracy,Paranoia,LOC_1,LOC2,LOC3,TIS,Alt,Agreeableness,Conscientiousness,Neuroticism,Openness,Extraversion,Ireland$MigrantAttitudes1,Ireland$MigrantAttitudes2,Ireland$C19_Infected_Binary,Ireland$C19_SomeoneClose_Infected_Binary,Ireland$Vax_Self_Binary,Ireland$�..Sex,Ireland$Occupation_Binary,Ireland$Education_Binary,Trust_Scientist,Trust_Doctor
1.056214565,-0.048561333,0.121682753,0.572422829,-0.017883441,0.624150242,0.406697257,-0.02992945,-0.227145865,0.504878893,7,6,6,5,5,5,6,0,0,1,1,1,0,2,2
0.136808524,1.061840519,-0.643021258,-0.551523611,0.49176188,0.31931229,0.983782319,0.113032277,0.22058023,-0.907850219,6,6,6,6,5,6,6,0,0,0,1,1,0,3,3
0.875385108,0.486641161,0.252470802,-0.262860189,0.556379145,0.459431008,0.457249602,0.113032277,0.858917205,-0.276707196,8,8,4,8,5,7,7,0,0,1,1,1,0,5,5
-0.8218767,-0.282273939,-0.643021258,0.543043476,1.28856971,-0.235704418,-1.090680912,-0.735159831,-1.215403738,0.067564921,5,8,6,7,10,8,8,0,0,0,0,0,0,4,5
-0.312297661,0.570094567,-0.643021258,-0.302329047,-0.317819443,-0.617442914,-0.395947164,-1.691905973,-0.248522807,0.156573652,9,7,3,5,4,8,7,0,0,1,0,1,1,4,4
-1.477062623,-1.843228451,-0.643021258,1.936417926,-0.639768531,-1.164880335,0.422070583,-1.620902498,-1.541129168,0.878726922,6,8,6,7,3,7,10,0,0,1,0,1,1,2,3
-0.881822858,0.397859648,1.503089667,-0.889900553,1.232399484,0.420430535,0.457249602,0.803427621,-0.042844055,0.293755343,5,10,8,10,3,8,7,0,0,1,1,1,1,4,4
0.294638885,0.242843154,0.868779879,-1.274212325,0.376234303,0.459431008,0.983782319,0.288735715,0.769257238,-0.899422113,6,10,6,10,4,3,3,0,0,1,1,0,1,5,5
1.374675417,0.994922077,-0.643021258,0.968535807,0.419323257,0.520180633,-0.278215982,0.773108468,-0.108974567,0.688115336,7,7,4,6,7,1,1,0,1,1,0,1,0,5,5
0.220695614,0.353152523,-0.643021258,1.225893208,0.716369318,1.135093095,-0.163610051,0.115278464,1.1600196,2.05022748,8,8,9,6,7,9,10,0,0,1,1,1,1,4,4
0.769921356,0.803096379,-0.643021258,-0.984765925,-0.442522888,0.161281558,0.406697257,0.085085482,-0.740567332,-1.319468286,7,10,10,7,4,7,6,0,0,1,1,0,0,2,4
-0.250613988,-0.623190288,-0.643021258,0.539623388,0.002393285,-0.255592317,-1.567582422,-1.620902498,-0.364121743,-0.672736888,7,10,2,9,7,10,10,0,0,0,1,1,0,5,4
-0.298455139,-0.623190288,-0.643021258,-1.820845263,0.556379145,1.135093095,0.507221005,0.345935654,1.121670423,0.163245866,7,9,6,7,8,7,7,0,0,1,1,1,0,4,4
-0.399273886,0.108916759,-0.643021258,2.301845529,2.156153505,-0.54286992,-0.278215982,0.113032277,-2.021279556,0.298852552,8,10,6,6,10,1,5,0,0,1,0,1,0,1,1
2.093074546,-0.124632846,-0.643021258,0.345847607,0.556379145,0.983046853,0.507221005,-0.057535876,0.021468152,0.854145216,6,9,6,7,7,7,8,0,0,1,0,1,1,5,5
1.32359849,-0.153159937,-0.643021258,-0.051405273,-0.870968476,-0.758033763,-0.336644221,0.26027381,-0.138612065,0.351879631,7,6,7,7,5,5,5,0,0,1,0,1,1,4,4
0.772926531,-0.811523889,0.121682753,2.301845529,-0.718784288,0.163957038,-1.307037133,-1.586049618,-1.762481228,1.028031939,9,10,6,10,6,5,4,0,0,0,0,1,1,2,2
-1.302957469,-2.033919582,-0.643021258,2.301845529,0.868789507,-0.617442914,-0.395947164,-0.341194372,-1.090521112,-1.569278343,3,9,4,4,6,5,8,0,0,1,0,0,1,4,4
0.283672835,0.783533888,-0.643021258,-0.055873127,-0.925123539,0.459431008,0.507221005,0.288735715,-0.649543524,0.163245866,8,8,7,6,7,5,5,0,0,1,0,0,1,2,1
1.218452335,0.643179384,-0.643021258,2.00189255,-0.017883441,-1.721310144,-1.567582422,-1.691905973,-1.426097209,-1.084646571,7,10,3,7,6,1,1,0,0,1,1,1,0,4,4
0.121620068,-1.843228451,0.975433204,0.085819667,-0.628807854,0.48085241,-0.220563335,0.710419391,-0.44551286,0.922240666,6,5,8,10,3,7,7,0,1,1,1,1,1,4,5
-0.111719125,0.482057091,-0.643021258,-0.008525771,1.241855638,-0.126432515,0.472449103,0.085085482,0.031664085,-0.183181112,7,6,7,6,7,8,8,0,1,1,0,1,0,3,4
0.540172153,0.012240519,-0.643021258,1.512248136,-0.196285566,-1.721310144,-1.307037133,0.681017075,-1.741644381,-1.275286629,7,7,8,10,5,6,3,0,0,0,1,0,0,2,4
0.98583369,0.69543654,0.444417946,-0.390807256,-0.346839767,0.624150242,0.571422373,0.648784465,1.121670423,-0.097686768,8,6,5,4,5,4,4,0,0,1,1,1,1,3,4
0.025555673,0.46466455,-0.643021258,1.606350349,-0.404880868,0.459431008,-1.057039372,1.855263314,1.121670423,0.504878893,9,8,4,7,7,6,5,0,0,1,1,0,0,5,5
-0.262287032,-0.048980736,1.503089667,0.151351061,0.49176188,0.48085241,-0.203240321,-0.397867873,-0.384884426,-0.416545366,7,6,4,6,5,9,9,0,1,1,1,0,0,5,5
0.341830054,-0.560838094,0.121682753,0.72391247,0.849967131,-0.638011997,-0.336644221,-0.255532483,0.031664085,0.504878893,7,9,6,8,7,8,8,0,0,1,0,1,0,2,2
