"","Authoritariansm","SDO","CRT","Conspiracy","Paranoia","LOC_1","LOC2","LOC3","TIS","Alt","Agreeableness","Conscientiousness","Neuroticism","Openness","Extraversion","Ireland$Trust_in_Irish_State","Ireland$MigrantAttitudes1","Ireland$MigrantAttitudes2","Ireland$C19_Infected_Binary","Ireland$C19_SomeoneClose_Infected_Binary","Ireland$Vax_Self_Binary","Ireland$ï..Sex","Ireland$Occupation_Binary","Ireland$Education_Binary"
"107",0.41968024577728,0.502331044683182,0.12168275327275,-1.69228821292828,0.994177506387979,0.295696184193651,0.693246957540896,1.07735163524978,0.148323965522551,0.993243887464882,7,4,4,5,6,21,10,10,0,0,0,1,0,1
"108",1.68488377861801,-0.52429651801247,-0.643021257745389,-0.32077552684782,-0.998172385632081,1.77150333682794,-0.830165714187019,-0.606989037730766,0.380697113658391,-0.276707195686551,10,10,10,7,2,26,6,7,0,0,0,1,0,0
"109",0.294414299209387,-0.0196525855294638,-0.643021257745389,0.492203297499797,-0.190414368636566,-1.46911357510722,-1.51794516557155,0.34906252644473,0.220580229794594,1.52501378611177,10,10,10,8,3,21,5,5,0,0,0,1,0,1
"110",-0.163520291780844,0.0421004614196507,1.50308966740445,-0.878124170738649,-0.523175854685601,-0.853021962164043,-1.62532326495291,-1.13722176267959,-1.41376041457506,-0.313181682786197,8,10,2,8,9,15,5,4,0,0,0,0,0,0
"111",0.428626731755745,0.233715036936789,-0.643021257745389,0.255367852701977,-1.52619218201925,0.541966527868775,0.0270472572551587,-1.45507565455739,0.220580229794594,0.365658686837779,7,5,4,3,6,21,5,6,1,1,1,1,1,0
"112",1.53376224187299,1.77943970154502,-0.643021257745389,1.37877573436843,-1.52619218201925,-1.46911357510722,0.801810193951238,-0.60255058523093,1.25128673467033,-0.219996799572077,6,8,2,5,5,27,4,5,0,0,0,1,1,0
"113",-0.26000544423927,-0.290290320277367,1.50308966740445,-0.54871956759126,-0.846948928585353,-0.548467599010122,0.0795453606887748,-0.562004159836213,0.213235814796045,0.163245866185761,8,9,5,3,4,23,5,2,0,0,0,1,0,0
"114",0.0492280309988606,0.52746705141315,-0.643021257745389,0.244037453360412,-0.317819443204162,-0.698556956906819,0.133818676737611,-0.657795208416327,-1.74164438077096,-1.84601834237753,10,9,2,7,8,9,3,3,0,0,0,0,0,0
"115",-0.241002292524821,0.221154450023965,1.50308966740445,-0.174145085204532,0.548189013820364,0.113950284081864,-0.796639213524193,-0.657795208416327,1.66644926470639,-1.46717239660106,3,8,6,8,2,31,3,1,0,0,1,1,1,0
"116",1.17003943972488,-0.749458607633619,-0.643021257745389,1.25877825417306,0.355881376441675,-1.34936738718017,-1.29317792493055,0.531049377739666,-1.57208690688784,0.862151689835509,9,10,2,8,6,15,7,7,0,0,0,0,0,1
